word, synset, definition
dresser, chest_of_drawers.n.01, furniture with drawers for keeping clothes
collier, coal_miner.n.01, someone who works in a coal mine
broccoli, broccoli.n.01, plant with dense clusters of tight green flower buds
crab, crab.n.01, decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers
crochet, crochet.n.01, needlework done by interlocking looped stitches with a hooked needle
web, web.n.02, an intricate trap that entangles or ensnares its victim
spider, spider.n.01, predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey
turtle, turtle.n.02, any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming
library, library.n.01, a room where books are kept
cabinet, cabinet.n.04, housing for electronic instruments, as radio or television
bookshop, bookshop.n.01, a shop where books are sold
fungi, fungus.n.01, an organism of the kingdom Fungi lacking chlorophyll and feeding on organic matter; ranging from unicellular or multicellular organisms to spore-bearing syncytia
fastener, fastener.n.02, restraint that attaches to something or holds something in place
beetle, beetle.n.01, insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings
thistle, thistle.n.01, any of numerous plants of the family Compositae and especially of the genera Carduus and Cirsium and Onopordum having prickly-edged leaves
radiator, radiator.n.01, any object that radiates energy
bookstore, bookshop.n.01, a shop where books are sold
fossil, fossil.n.02, the remains (or an impression) of a plant or animal that existed in a past geological age and that has been excavated from the soil
fence, fence.n.01, a barrier that serves to enclose an area
lobster, lobster.n.02, any of several edible marine crustaceans of the families Homaridae and Nephropsidae and Palinuridae
wicker, wicker.n.02, work made of interlaced slender branches (especially willow branches)
mushroom, mushroom.n.01, common name for an edible agaric (contrasting with the inedible toadstool)
snowmobile, snowmobile.n.01, tracked vehicle for travel on snow having skis in front
rug, rug.n.01, floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
basket, basket.n.03, horizontal circular metal hoop supporting a net through which players try to throw the basketball
parrot, parrot.n.01, usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
cucumber, cucumber.n.02, cylindrical green fruit with thin green rind and white flesh eaten as a vegetable; related to melons
zebra, zebra.n.01, any of several fleet black-and-white striped African equines
crossword, crossword_puzzle.n.01, a puzzle in which words corresponding to numbered clues are to be found and written in to squares in the puzzle
yellowstone, yellowstone.n.01, a tributary of the Missouri River that flows through the Yellowstone National Park
python, python.n.01, large Old World boas
choir, choir.n.02, a family of similar musical instrument playing together
screw, fuck.n.01, slang for sexual intercourse
keyboard, keyboard.n.01, device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like
jewellery, jewelry.n.01, an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems)
knit, knit.n.02, a basic knitting stitch
fig, figure.n.01, a diagram or picture illustrating textual material
harp, harmonica.n.01, a small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole
curtain, curtain.n.01, hanging cloth used as a blind (especially for a window)
clarinet, clarinet.n.01, a single-reed instrument with a straight tube
carpet, rug.n.01, floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
elephant, elephant.n.01, five-toed pachyderm
fountain, spring.n.03, a natural flow of ground water
ambulance, ambulance.n.01, a vehicle that takes people to and from hospitals
dragonfly, dragonfly.n.01, slender-bodied non-stinging insect having iridescent wings that are outspread at rest; adults and nymphs feed on mosquitoes etc.
shark, shark.n.01, any of numerous elongate mostly marine carnivorous fishes with heterocercal caudal fins and tough skin covered with small toothlike scales
drawer, drawer.n.01, a boxlike container in a piece of furniture; made so as to slide in and out
book, bible.n.01, the sacred writings of the Christian religions
chapel, chapel.n.01, a place of worship that has its own altar
bookshelf, bookshelf.n.01, a shelf on which to keep books
seafood, seafood.n.01, edible fish (broadly including freshwater fish) or shellfish or roe etc
bookseller, bookseller.n.01, the proprietor of a bookstore
violin, violin.n.01, bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow
piano, piano.n.01, a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds
tractor, tractor.n.01, a wheeled vehicle with large wheels; used in farming and other applications
mating, coupling.n.03, the act of pairing a male and female for reproductive purposes
sailing, seafaring.n.01, the work of a sailor
musician, musician.n.01, someone who plays a musical instrument (as a profession)
leopard, leopard.n.02, large feline of African and Asian forests usually having a tawny coat with black spots
tort, tort.n.01, (law) any wrongdoing for which an action for damages may be brought
bicycle, bicycle.n.01, a wheeled vehicle that has two wheels and is moved by foot pedals
fruit, yield.n.03, an amount of a product
jewelry, jewelry.n.01, an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems)
bedroom, bedroom.n.01, a room used primarily for sleeping
purse, bag.n.04, a container used for carrying money and small personal items or accessories (especially by women)
snake, snake.n.01, limbless scaly elongate reptile; some are venomous
yarn, thread.n.01, a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving
maize, corn.n.01, tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
puzzle, puzzle.n.01, a particularly baffling problem that is said to have a correct solution
plaque, brass.n.07, a memorial made of brass
armor, armor.n.01, protective covering made of metal and used in combat
bureau, agency.n.01, an administrative unit of government
shoe, brake_shoe.n.01, a restraint provided when the brake linings are moved hydraulically against the brake drum to retard the wheel's rotation
male, male.n.01, an animal that produces gametes (spermatozoa) that can fertilize female gametes (ova)
hay, hay.n.01, grass mowed and cured for use as fodder
altar, altar.n.01, the table in Christian churches where communion is given
greyhound, greyhound.n.01, a tall slender dog of an ancient breed noted for swiftness and keen sight; used as a racing dog
dinnerware, dinnerware.n.01, the tableware (plates and platters and serving bowls etc.) used in serving a meal
butterfly, butterfly.n.01, diurnal insect typically having a slender body with knobbed antennae and broad colorful wings
shellfish, mollusk.n.01, invertebrate having a soft unsegmented body usually enclosed in a shell
soup, soup.n.01, liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
gong, chime.n.01, a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
refrigerator, refrigerator.n.01, white goods in which food can be stored at low temperatures
whale, giant.n.04, a very large person; impressive in size or qualities
train, gearing.n.01, wheelwork consisting of a connected set of rotating gears by which force is transmitted or motion or torque is changed
printer, printer.n.01, someone whose occupation is printing
bike, bicycle.n.01, a wheeled vehicle that has two wheels and is moved by foot pedals
sink, cesspool.n.01, a covered cistern; waste water and sewage flow into it
bison, bison.n.01, any of several large humped bovids having shaggy manes and large heads and short horns
cello, cello.n.01, a large stringed instrument; seated player holds it upright while playing
brush, brush.n.06, a minor short-term fight
pianist, pianist.n.01, a person who plays the piano
slug, punch.n.01, (boxing) a blow with the fist
barber, barber.n.01, United States composer (1910-1981)
wallet, wallet.n.01, a pocket-size case for holding papers and paper money
corn, corn.n.01, tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
wool, wool.n.03, outer coat of especially sheep and yaks
bowl, stadium.n.01, a large structure for open-air sports or entertainments
jaw, jaw.n.01, the part of the skull of a vertebrate that frames the mouth and holds the teeth
vegetable, vegetable.n.01, edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
trumpet, cornet.n.01, a brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves
pouch, pouch.n.02, an enclosed space
dessert, dessert.n.01, a dish served as the last course of a meal
blanket, blanket.n.01, bedding that keeps a person warm in bed
bracelet, watchband.n.01, a band of cloth or leather or metal links attached to a wristwatch and wrapped around the wrist
reef, witwatersrand.n.01, a rocky region in the southern Transvaal in northeastern South Africa; contains rich gold deposits and coal and manganese
cobra, cobra.n.01, venomous Asiatic and African elapid snakes that can expand the skin of the neck into a hood
furniture, furniture.n.01, furnishings that make a room or other area ready for occupancy
saxophone, sax.n.02, a single-reed woodwind with a conical bore
aircraft, aircraft.n.01, a vehicle that can fly
lizard, lizard.n.01, relatively long-bodied reptile with usually two pairs of legs and a tapering tail
flamingo, flamingo.n.01, large pink to scarlet web-footed wading bird with down-bent bill; inhabits brackish lakes
monkey, imp.n.02, one who is playfully mischievous
pitcher, pitcher.n.05, the position on a baseball team of the player who throws the ball for a batter to try to hit
insect, worm.n.02, a person who has a nasty or unethical character undeserving of respect
clock, clock.n.01, a timepiece that shows the time of day
harvesting, harvest.n.03, the gathering of a ripened crop
reptile, reptile.n.01, any cold-blooded vertebrate of the class Reptilia including tortoises, turtles, snakes, lizards, alligators, crocodiles, and extinct forms
plant, plant.n.01, buildings for carrying on industrial labor
tiger, tiger.n.02, large feline of forests in most of Asia having a tawny coat with black stripes; endangered
lotion, lotion.n.02, liquid preparation having a soothing or antiseptic or medicinal action when applied to the skin
bus, bus.n.01, a vehicle carrying many passengers; used for public transport
weight, weight.n.08, (statistics) a coefficient assigned to elements of a frequency distribution in order to represent their relative importance
emu, emu.n.02, large Australian flightless bird similar to the ostrich but smaller
paperback, paperback_book.n.01, a book with paper covers
kettle, kettle.n.01, a metal pot for stewing or boiling; usually has a lid
juvenile, juvenile.n.01, a young person, not fully developed
bottle, bottle.n.01, a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped
footwear, footwear.n.02, covering for a person's feet
roach, r-2.n.01, street names for flunitrazepan
orchestra, orchestra.n.01, a musical organization consisting of a group of instrumentalists including string players
aquarium, aquarium.n.01, a tank or pool or bowl filled with water for keeping live fish and underwater animals
conditioner, conditioner.n.01, exercise that conditions the body
tub, bathtub.n.01, a relatively large open container that you fill with water and use to wash the body
guitar, guitar.n.01, a stringed instrument usually having six strings; played by strumming or plucking
infant, baby.n.01, a very young child (birth to 1 year) who has not yet begun to walk or talk
percussion, percussion.n.01, the act of playing a percussion instrument
pudding, pudding.n.02, (British) the dessert course of a meal (`pud' is used informally)
aviation, air_travel.n.01, travel via aircraft
toolbox, toolbox.n.01, a box or chest or cabinet for holding hand tools
flute, flute.n.03, a groove or furrow in cloth etc (particularly a shallow concave groove on the shaft of a column)
pineapple, pineapple.n.02, large sweet fleshy tropical fruit with a terminal tuft of stiff leaves; widely cultivated
railway, railway.n.01, line that is the commercial organization responsible for operating a system of transportation for trains that pull passengers or freight
bird, dame.n.01, informal terms for a (young) woman
diving, dive.n.02, a headlong plunge into water
snowboard, snowboard.n.01, a board that resembles a broad ski or a small surfboard; used in a standing position to slide down snow-covered slopes
slot, slot.n.01, a position in a grammatical linguistic construction in which a variety of alternative units are interchangeable
bubble, bubble.n.01, a hollow globule of gas (e.g., air or carbon dioxide)
aquaculture, aquaculture.n.01, rearing aquatic animals or cultivating aquatic plants for food
bed, bed.n.03, a depression forming the ground under a body of water
pen, penitentiary.n.01, a correctional institution for those convicted of major crimes
adult, adult.n.01, a fully developed person from maturity onward
television, television.n.01, broadcasting visual images of stationary or moving objects; ;  - Ernie Kovacs
basin, river_basin.n.01, the entire geographical area drained by a river and its tributaries; an area characterized by all runoff being conveyed to the same outlet
dog, pawl.n.01, a hinged catch that fits into a notch of a ratchet to move a wheel forward or prevent it from moving backward
bead, drop.n.01, a shape that is spherical and small
acrobat, acrobat.n.01, an athlete who performs acts requiring skill and agility and coordination
manufacturer, manufacturer.n.02, someone who manufactures something
casino, casino.n.02, a card game in which cards face up on the table are taken with eligible cards in the hand
habit, habit.n.02, (psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition
accessory, accessory.n.02, a supplementary component that improves capability
kernel, kernel.n.03, the choicest or most essential or most vital part of some idea or experience
individual, person.n.01, a human being
embryo, embryo.n.02, an animal organism in the early stages of growth and differentiation that in higher forms merge into fetal stages but in lower forms terminate in commencement of larval life
table, board.n.04, food or meals in general
sail, sail.n.01, a large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel
peacock, peacock.n.01, European butterfly having reddish-brown wings each marked with a purple eyespot
chestnut, chestnut.n.01, wood of any of various chestnut trees of the genus Castanea
cassette, cassette.n.01, a container that holds a magnetic tape used for recording or playing sound or video
jean, denim.n.02, a coarse durable twill-weave cotton fabric
cart, handcart.n.01, wheeled vehicle that can be pushed by a person; may have one or two or four wheels
fridge, electric_refrigerator.n.01, a refrigerator in which the coolant is pumped around by an electric motor
stereo, stereo.n.01, reproducer in which two microphones feed two or more loudspeakers to give a three-dimensional effect to the sound
habitat, habitat.n.01, the type of environment in which an organism or group normally lives or occurs
apron, proscenium.n.01, the part of a modern theater stage between the curtain and the orchestra (i.e., in front of the curtain)
trolley, streetcar.n.01, a wheeled vehicle that runs on rails and is propelled by electricity
depot, storehouse.n.01, a depository for goods
grille, grill.n.02, a framework of metal bars used as a partition or a grate
slope, slope.n.01, an elevated geological formation
cabbage, boodle.n.01, informal terms for money
stew, fret.n.01, agitation resulting from active worry
fiddle, violin.n.01, bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow
observatory, lookout.n.03, a structure commanding a wide view of its surroundings
homepage, home_page.n.01, the opening page of a web site
crocodile, crocodile.n.01, large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters
string, string.n.04, a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding
boil, boil.n.01, a painful sore with a hard core filled with pus
novel, novel.n.01, an extended fictional work in prose; usually in the form of a story
airplane, airplane.n.01, an aircraft that has a fixed wing and is powered by propellers or jets
agriculture, farming.n.01, the practice of cultivating the land or raising stock
penguin, penguin.n.01, short-legged flightless birds of cold southern especially Antarctic regions having webbed feet and wings modified as flippers
greenhouse, greenhouse.n.01, a building with glass walls and roof; for the cultivation and exhibition of plants under controlled conditions
bath, bathroom.n.01, a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
deere, deere.n.01, United States industrialist who manufactured plows suitable for working the prairie soil (1804-1886)
tent, tent.n.01, a portable shelter (usually of canvas stretched over supporting poles and fastened to the ground with ropes and pegs)
aerospace, aerospace.n.01, the atmosphere and outer space considered as a whole
serpent, snake.n.01, limbless scaly elongate reptile; some are venomous
guitarist, guitarist.n.01, a musician who plays the guitar
bathroom, toilet.n.01, a room or building equipped with one or more toilets
scuba, aqualung.n.01, a device (trade name Aqua-Lung) that lets divers breathe under water; scuba is an acronym for self-contained underwater breathing apparatus
marrow, kernel.n.03, the choicest or most essential or most vital part of some idea or experience
maze, maze.n.01, complex system of paths or tunnels in which it is easy to get lost
concerto, concerto.n.01, a composition for orchestra and a soloist
hen, hen.n.01, adult female chicken
salmon, salmon.n.01, any of various large food and game fishes of northern waters; usually migrate from salt to fresh water to spawn
comforter, quilt.n.01, bedding made of two layers of cloth filled with stuffing and stitched together
combustion, combustion.n.01, a process in which a substance reacts with oxygen to give heat and light
salon, salon.n.01, gallery where works of art can be displayed
ski, ski.n.01, narrow wood or metal or plastic runners used in pairs for gliding over snow
desk, desk.n.01, a piece of furniture with a writing surface and usually drawers or other compartments
buffalo, buffalo.n.02, a city on Lake Erie in western New York (near Niagara Falls)
geisha, geisha.n.01, a Japanese woman trained to entertain men with conversation and singing and dancing
husky, eskimo_dog.n.01, breed of heavy-coated Arctic sled dog
wetland, wetland.n.01, a low area where the land is saturated with water
boiling, boiling.n.02, cooking in a liquid that has been brought to a boil
speaker, speaker.n.01, someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous)
farmer, farmer.n.01, a person who operates a farm
drummer, drummer.n.01, someone who plays a drum
barrel, barrel.n.03, a bulging cylindrical shape; hollow with flat ends
airline, airline.n.02, a commercial enterprise that provides scheduled flights for passengers
weaving, weaving.n.01, creating fabric
wildlife, wildlife.n.01, all living things (except people) that are undomesticated
flower, flower.n.03, the period of greatest prosperity or productivity
drum, barrel.n.03, a bulging cylindrical shape; hollow with flat ends
instrument, instrument.n.02, the means whereby some act is accomplished
cushion, shock_absorber.n.01, a mechanical damper; absorbs energy of sudden impulses
infantry, infantry.n.01, an army unit consisting of soldiers who fight on foot
horticulture, gardening.n.01, the cultivation of plants
retriever, retriever.n.01, a dog with heavy water-resistant coat that can be trained to retrieve game
casserole, casserole.n.01, food cooked and served in a casserole
church, church.n.01, one of the groups of Christians who have their own beliefs and forms of worship
beverage, beverage.n.01, any liquid suitable for drinking
router, router.n.01, a worker who routes shipments for distribution and delivery
machinery, machinery.n.01, machines or machine systems collectively
spindle, spike.n.10, any holding device consisting of a rigid, sharp-pointed object
helmet, helmet.n.01, armor plate that protects the head
cycling, cycling.n.01, the sport of traveling on a bicycle or motorcycle
farming, farming.n.02, agriculture considered as an occupation or way of life
swimming, swimming.n.01, the act of swimming; :
fish, pisces.n.02, (astrology) a person who is born while the sun is in Pisces
quilt, quilt.n.01, bedding made of two layers of cloth filled with stuffing and stitched together
fishery, fishery.n.01, a workplace where fish are caught and processed and sold
cave, cave.n.01, a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea
head, mind.n.01, that which is responsible for one's thoughts and feelings; the seat of the faculty of reason
sax, sax.n.02, a single-reed woodwind with a conical bore
xerox, xerox.n.01, a copy made by a xerographic printer
trout, trout.n.01, flesh of any of several primarily freshwater game and food fishes
platform, platform.n.02, a document stating the aims and principles of a political party
room, room.n.02, space for movement
gnu, gnu.n.01, large African antelope having a head with horns like an ox and a long tufted tail
